klas_Id-Length_w	klas_Id-Length_i	klas_STW_w	klas_STW_i	klas_*VVC_w	klas_*VVC_i	en_Id-Length_w	en_Id-Length_i	en_STW_w	en_STW_i	en_*VVC_w	en_*VVC_i	kip_Id-Length_w	kip_Id-Length_i	kip_STW_w	kip_STW_i	kip_*VVC_w	kip_*VVC_i	baas_Id-Length_w	baas_Id-Length_i	baas_STW_w	baas_STW_i	baas_*VVC_w	baas_*VVC_i	poot_Id-Length_w	poot_Id-Length_i	poot_STW_w	poot_STW_i	poot_*VVC_w	poot_*VVC_i	glas_Id-Length_w	glas_Id-Length_i	glas_STW_w	glas_STW_i	glas_*VVC_w	glas_*VVC_i	slot_Id-Length_w	slot_Id-Length_i	slot_STW_w	slot_STW_i	slot_*VVC_w	slot_*VVC_i
2.3099999999999934	3	0	0	0	0	0	0	2.0799999999999983	2	0	0	2.139999999999997	4	0	0	2.329999999999993	1	2.139999999999997	4	0	0	0	0	0	0	1.96	1	0	0	0	0	2.0799999999999983	2	2.329999999999993	1	0	0	1.98	3	2.329999999999993	1
2.0	5	0	0	0	0	0	0	2.0599999999999987	2	0	0	2.149999999999997	4	0	0	2.369999999999992	1	2.149999999999997	4	0	0	0	0	0	0	1.96	1	0	0	0	0	2.0599999999999987	2	2.369999999999992	1	0	0	2.0599999999999987	2	2.369999999999992	1
2.0299999999999994	5	0	0	0	0	0	0	2.039999999999999	2	0	0	2.1699999999999964	4	0	0	2.3999999999999915	1	2.1699999999999964	4	0	0	0	0	0	0	1.96	1	0	0	0	0	2.039999999999999	2	2.3999999999999915	1	0	0	2.039999999999999	2	2.3999999999999915	1
2.049999999999999	5	0	0	0	0	0	0	2.0199999999999996	2	0	0	2.179999999999996	4	0	0	2.4099999999999913	1	2.179999999999996	4	0	0	0	0	0	0	1.96	1	0	0	0	0	2.0199999999999996	2	2.4099999999999913	1	0	0	2.0199999999999996	2	2.4099999999999913	1
2.049999999999999	5	0	0	0	0	0	0	1.9899999999999998	2	0	0	2.2199999999999953	4	0	0	2.419999999999991	1	2.2199999999999953	4	0	0	0	0	0	0	1.97	1	0	0	0	0	1.98	3	2.419999999999991	1	0	0	1.9899999999999998	2	2.419999999999991	1
2.049999999999999	5	0	0	0	0	1.6899999999999997	1	2.039999999999999	2	0	0	2.2499999999999947	2	0	0	2.429999999999991	1	2.229999999999995	4	0	0	0	0	0	0	1.97	1	0	0	0	0	1.99	3	2.429999999999991	1	0	0	2.039999999999999	2	2.429999999999991	1
2.0599999999999987	5	0	0	0	0	1.6399999999999997	1	2.1199999999999974	2	0	0	2.2499999999999947	2	0	0	2.4499999999999904	1	2.229999999999995	4	0	0	0	0	0	0	1.97	1	0	0	0	0	1.99	3	2.4499999999999904	1	0	0	2.1199999999999974	2	2.4499999999999904	1
1.9599999999999997	5	0	0	0	0	1.9599999999999997	5	2.049999999999999	3	0	0	2.2599999999999945	2	0	0	2.45999999999999	1	2.229999999999995	4	0	0	0	0	0	0	1.97	1	0	0	0	0	2.049999999999999	3	2.45999999999999	1	0	0	2.01	5	2.45999999999999	1
1.9099999999999997	5	0	0	0	0	1.9099999999999997	5	2.2699999999999942	2	0	0	2.2599999999999945	2	0	0	2.4799999999999898	1	2.229999999999995	4	0	0	0	0	0	0	1.99	4	0	0	0	0	2.2699999999999942	2	2.4799999999999898	1	1.5799999999999996	1	2.049999999999999	5	2.4799999999999898	1
1.9099999999999997	5	0	0	0	0	0	0	1.99	7	0	0	2.279999999999994	2	0	0	2.509999999999989	1	2.229999999999995	4	0	0	0	0	0	0	1.99	4	0	0	0	0	2.2999999999999936	2	2.509999999999989	1	1.5399999999999996	1	2.089999999999998	5	2.509999999999989	1
