filetag	runNo	nlexCs	lexCstartW	pChangeIndexation	inputSet	likelihood	SSE	w_ku	w_fi	w_ku_pl	w_fi_pl	predicted_p_fi_wug	experiment_p_fi
24_1_001_opposing___93	93	24	1	0.01	typeTokenInput_opposing	-0.02418422772539321	0.00010902766930270423	1.400000000000001	0.05	6.879999999999896	7.749999999999877	0.6177478747692534	0.41
24_1_001_opposing___94	94	24	1	0.01	typeTokenInput_opposing	-0.041552746208325726	0.0004730656213519119	1.7800000000000014	0.03	6.859999999999896	7.709999999999878	0.7109495026250078	0.41
24_1_001_opposing___95	95	24	1	0.01	typeTokenInput_opposing	-0.016347487693388278	2.2414560530451738e-05	0.43000000000000016	0.21000000000000002	7.249999999999888	7.339999999999886	0.5324543063873192	0.41
24_1_001_opposing___96	96	24	1	0.01	typeTokenInput_opposing	-0.0335198090846546	0.00013801927598194874	0.3000000000000001	1.400000000000001	5.579999999999924	6.21999999999991	0.14931293453084532	0.41
24_1_001_opposing___97	97	24	1	0.01	typeTokenInput_opposing	-0.018789808491703995	3.363289100684588e-05	0.41000000000000014	0.32000000000000006	3.87999999999996	3.3399999999999714	0.6524894621927417	0.41
24_1_001_opposing___98	98	24	1	0.01	typeTokenInput_opposing	-0.02621843761798096	7.756118098406828e-05	1.480000000000001	0.07	6.649999999999901	7.449999999999884	0.6479408020806542	0.41
24_1_001_opposing___99	99	24	1	0.01	typeTokenInput_opposing	-0.02930229856703141	9.605134907012353e-05	1.1700000000000008	0	6.879999999999896	7.389999999999885	0.6592603884513882	0.41
24_1_001_opposing___100	100	24	1	0.01	typeTokenInput_opposing	-0.03215284551077304	0.000320826044642628	0.3600000000000001	0.32000000000000006	4.709999999999942	4.719999999999942	0.5074994375506204	0.41
24_1_001_exaggerated___1	1	24	1	0.01	typeTokenInput_exaggerated	-0.04440858673734082	0.000307199935319585	0.6000000000000003	0.5400000000000003	5.27999999999993	7.189999999999889	0.13587289700909913	0.22
24_1_001_exaggerated___2	2	24	1	0.01	typeTokenInput_exaggerated	-0.038343421656377934	0.00019263511559584648	0.9300000000000006	0.16	4.669999999999943	3.9099999999999593	0.8220063142137513	0.22
24_1_001_exaggerated___3	3	24	1	0.01	typeTokenInput_exaggerated	-0.02288978799287825	8.444769321793942e-05	0.21000000000000002	0.7500000000000004	7.319999999999887	7.0899999999998915	0.4231147388679524	0.22
24_1_001_exaggerated___4	4	24	1	0.01	typeTokenInput_exaggerated	-0.016549790286128165	2.417432037966129e-05	0.4700000000000002	1.2100000000000009	7.63999999999988	6.979999999999894	0.48001065984441466	0.22
24_1_001_exaggerated___5	5	24	1	0.01	typeTokenInput_exaggerated	-0.06357731529568747	0.0005876760873586147	1.5900000000000012	0.2900000000000001	6.0099999999999145	4.0899999999999554	0.9615800144984332	0.22
24_1_001_exaggerated___6	6	24	1	0.01	typeTokenInput_exaggerated	-0.06014545621528773	0.0013053215682317276	1.7800000000000014	0	5.009999999999936	7.759999999999877	0.27488050221018884	0.22
24_1_001_exaggerated___7	7	24	1	0.01	typeTokenInput_exaggerated	-0.01747035662627206	3.0018874233303154e-05	0.28	0.7000000000000004	5.049999999999935	4.599999999999945	0.507499437550618	0.22
24_1_001_exaggerated___8	8	24	1	0.01	typeTokenInput_exaggerated	-0.022914542524318765	7.267638123138636e-05	0.44000000000000017	0.06999999999999992	4.889999999999938	4.719999999999942	0.6318124177361009	0.22
24_1_001_exaggerated___9	9	24	1	0.01	typeTokenInput_exaggerated	-0.02021826889829904	3.4788764178244094e-05	0.9800000000000006	0	5.099999999999934	6.659999999999901	0.3589325936651907	0.22
24_1_001_exaggerated___10	10	24	1	0.01	typeTokenInput_exaggerated	-0.058707711361147503	0.0024666416613736016	0.26	0.9100000000000006	4.499999999999947	5.019999999999936	0.23685498427314655	0.22
24_1_001_exaggerated___11	11	24	1	0.01	typeTokenInput_exaggerated	-0.019508526087289705	3.8212545302089954e-05	0.22999999999999998	0.3800000000000001	4.999999999999936	5.219999999999931	0.40854102156722116	0.22
24_1_001_exaggerated___12	12	24	1	0.01	typeTokenInput_exaggerated	-0.019157102375024045	3.331036327755055e-05	1.0800000000000007	0.7900000000000005	6.979999999999894	7.379999999999885	0.4725276956554082	0.22
24_1_001_exaggerated___13	13	24	1	0.01	typeTokenInput_exaggerated	-0.031864221504935515	0.00021746635483169076	0.6900000000000004	0.18000000000000002	3.829999999999961	3.40999999999997	0.7170752854929708	0.22
24_1_001_exaggerated___14	14	24	1	0.01	typeTokenInput_exaggerated	-0.01779362657682085	2.8066085464247182e-05	0.05999999999999998	1.2500000000000009	7.549999999999882	6.929999999999895	0.36123682485115455	0.22
24_1_001_exaggerated___15	15	24	1	0.01	typeTokenInput_exaggerated	-0.028769305266778872	0.0002288952624423866	1.350000000000001	0.16999999999999993	3.7999999999999616	5.27999999999993	0.4255574831883491	0.22
24_1_001_exaggerated___16	16	24	1	0.01	typeTokenInput_exaggerated	-0.04408076506685102	0.0006452013703614707	0.4900000000000002	0.6500000000000004	5.579999999999924	6.8999999999998956	0.18542741929298648	0.22
24_1_001_exaggerated___17	17	24	1	0.01	typeTokenInput_exaggerated	-0.03275090055978297	0.00013289443422294354	0.4700000000000002	0.4500000000000002	5.529999999999925	6.769999999999898	0.227936450573221	0.22
24_1_001_exaggerated___18	18	24	1	0.01	typeTokenInput_exaggerated	-0.03003720862424453	0.00015411803580557163	0.7600000000000005	0.4600000000000002	4.719999999999942	3.7999999999999616	0.7720635494267805	0.22
24_1_001_exaggerated___19	19	24	1	0.01	typeTokenInput_exaggerated	-0.04201126875314313	0.0006345634827794529	1.1300000000000008	0.07999999999999997	7.129999999999891	7.729999999999878	0.6106392339492251	0.22
24_1_001_exaggerated___20	20	24	1	0.01	typeTokenInput_exaggerated	-0.032928506999286004	0.00022623535459218144	0.07	1.470000000000001	7.499999999999883	5.429999999999927	0.6615031592029424	0.22
