agree-back-local	agree-front-rounded-nonlocal	agree-front-rounded-local	agree-back-nonlocal	agree-front-local	agree-nonhigh-front-local	agree-low-front-local	agree-double-front-local	use-front-bilabial	use-front-coronal-sonorant	use-front-sibilant	use-front-cc	use-back-monosyll-i
3.859999999999962	4.369999999999951	1.8700000000000014	3.94999999999996	0	0.8800000000000003	4.389999999999951	1.0600000000000007	1.360000000000001	0	1.310000000000001	1.3400000000000007	0.3900000000000002
3.809999999999963	4.40999999999995	1.8700000000000014	3.919999999999961	0.09999999999999999	0.8300000000000003	4.349999999999952	0.8900000000000006	1.340000000000001	0	1.1700000000000008	1.2700000000000007	0.4200000000000002
3.809999999999963	4.42999999999995	1.8700000000000014	3.909999999999961	0.12999999999999998	0.9300000000000004	4.42999999999995	0.9100000000000006	1.390000000000001	0	1.320000000000001	1.3000000000000007	0.4100000000000002
3.809999999999963	4.4499999999999496	1.8800000000000014	3.7999999999999634	0	0.8500000000000003	4.43999999999995	0.8300000000000005	1.380000000000001	0	1.270000000000001	1.2000000000000006	0.47000000000000025
3.7599999999999643	4.479999999999949	1.8800000000000014	3.7999999999999634	0	0.8200000000000003	4.519999999999948	0.7900000000000005	1.380000000000001	0	1.290000000000001	1.1900000000000006	0.4400000000000002
3.7999999999999634	4.4999999999999485	1.8900000000000015	3.779999999999964	0.08	1.0000000000000004	4.509999999999948	0.9000000000000006	1.370000000000001	0	1.2200000000000009	1.1300000000000006	0.4400000000000002
3.909999999999961	4.519999999999948	1.8900000000000015	3.9399999999999604	0	1.1100000000000005	4.509999999999948	0.8400000000000005	1.310000000000001	0.03	1.2300000000000009	1.1600000000000006	0.45000000000000023
3.8299999999999628	4.529999999999948	1.8900000000000015	3.8399999999999626	0	1.0300000000000005	4.649999999999945	0.8900000000000006	1.350000000000001	0	1.290000000000001	1.2400000000000007	0.45000000000000023
3.819999999999963	4.549999999999947	1.8900000000000015	3.96999999999996	0.07	0.8900000000000003	4.40999999999995	0.9200000000000006	1.430000000000001	0	1.2500000000000009	1.1600000000000006	0.37000000000000016
3.809999999999963	4.579999999999947	1.9000000000000015	4.049999999999958	0.01	1.0300000000000005	4.41999999999995	0.8100000000000005	1.430000000000001	0	1.390000000000001	1.2500000000000007	0.37000000000000016
3.859999999999962	4.629999999999946	1.9300000000000015	4.159999999999956	0.01	1.0100000000000005	4.42999999999995	0.8200000000000005	1.400000000000001	0	1.360000000000001	1.2200000000000006	0.37000000000000016
3.8299999999999628	4.629999999999946	1.9200000000000015	4.089999999999957	0.009999999999999997	1.1800000000000006	4.399999999999951	0.6400000000000003	1.420000000000001	0	1.340000000000001	1.2200000000000006	0.37000000000000016
3.7099999999999653	4.649999999999945	1.9200000000000015	3.8799999999999617	0.01	0.9200000000000004	4.3599999999999515	0.8000000000000005	1.400000000000001	0	1.350000000000001	1.2600000000000007	0.3900000000000002
3.7599999999999643	4.679999999999945	1.9400000000000015	3.9399999999999604	0	0.9600000000000004	4.42999999999995	0.8100000000000005	1.430000000000001	0.01	1.380000000000001	1.3100000000000007	0.38000000000000017
3.7599999999999643	4.679999999999945	1.9400000000000015	4.159999999999956	0.01	0.8100000000000003	4.40999999999995	0.8000000000000005	1.430000000000001	0.02	1.400000000000001	1.2700000000000007	0.36000000000000015
3.729999999999965	4.679999999999945	1.9300000000000015	4.139999999999956	0.07	1.0500000000000005	4.529999999999948	0.6700000000000004	1.390000000000001	0.019999999999999997	1.5100000000000011	1.3300000000000007	0.38000000000000017
3.639999999999967	4.719999999999944	1.9300000000000015	4.009999999999959	0	1.0100000000000005	4.459999999999949	0.6800000000000004	1.310000000000001	0	1.450000000000001	1.3500000000000008	0.4100000000000002
3.7399999999999647	4.709999999999944	1.9200000000000015	4.089999999999957	0	0.9800000000000004	4.4499999999999496	0.8000000000000005	1.280000000000001	0	1.370000000000001	1.3500000000000008	0.47000000000000025
3.7899999999999636	4.729999999999944	1.9300000000000015	4.019999999999959	0.02	0.8400000000000003	4.549999999999947	0.7200000000000004	1.310000000000001	0.01	1.430000000000001	1.4000000000000008	0.4300000000000002
3.909999999999961	4.769999999999943	1.9400000000000015	4.139999999999956	0.03	0.7700000000000002	4.519999999999948	0.7100000000000004	1.320000000000001	0.04	1.5400000000000011	1.4200000000000008	0.47000000000000025
3.909999999999961	4.7799999999999425	1.9300000000000015	4.179999999999955	0.03	0.7300000000000002	4.459999999999949	0.6500000000000004	1.310000000000001	0.02	1.6100000000000012	1.3800000000000008	0.47000000000000025
3.8399999999999626	4.799999999999942	1.9300000000000015	4.2199999999999545	0	0.7500000000000002	4.4999999999999485	0.8600000000000005	1.420000000000001	0	1.5600000000000012	1.4000000000000008	0.47000000000000025
3.779999999999964	4.789999999999942	1.9300000000000015	4.1699999999999555	0.03	0.7300000000000002	4.569999999999947	0.4700000000000002	1.460000000000001	0.01	1.6600000000000013	1.4400000000000008	0.5000000000000002
